spc_latin,spc_common,genus_latin,genus_common,family_latin,group
Acer,maple,Acer,Maple,Sapindaceae,Broadleaf
Acer buergerianum,trident maple,Acer,Maple,Sapindaceae,Broadleaf
Acer campestre,hedge maple,Acer,Maple,Sapindaceae,Broadleaf
Acer ginnala,Amur maple,Acer,Maple,Sapindaceae,Broadleaf
Acer griseum,paperbark maple,Acer,Maple,Sapindaceae,Broadleaf
Acer negundo,boxelder,Acer,Maple,Sapindaceae,Broadleaf
Acer nigrum,black maple,Acer,Maple,Sapindaceae,Broadleaf
Acer palmatum,Japanese maple,Acer,Maple,Sapindaceae,Broadleaf
Acer platanoides,Norway maple,Acer,Maple,Sapindaceae,Broadleaf
Acer platanoides 'Crimson King',crimson king maple,Acer,Maple,Sapindaceae,Broadleaf
Acer pseudoplatanus,sycamore maple,Acer,Maple,Sapindaceae,Broadleaf
Acer rubrum,red maple,Acer,Maple,Sapindaceae,Broadleaf
Acer saccharinum,silver maple,Acer,Maple,Sapindaceae,Broadleaf
Acer saccharum,sugar maple,Acer,Maple,Sapindaceae,Broadleaf
Acer tataricum,tartar maple,Acer,Maple,Sapindaceae,Broadleaf
Acer truncatum,Shantung maple,Acer,Maple,Sapindaceae,Broadleaf
Aesculus glabra,Ohio buckeye,Aesculus,"Buckeye, Horse-chesnut",Sapindaceae,Broadleaf
Aesculus hippocastanum,horse chestnut,Aesculus,"Buckeye, Horse-chesnut",Sapindaceae,Broadleaf
Aesculus x carnea,red horse chestnut,Aesculus,"Buckeye, Horse-chesnut",Sapindaceae,Broadleaf
Ailanthus altissima,tree of heaven,Ailanthus,Tree of heaven,Simaroubaceae,Broadleaf
Albizia julibrissin,mimosa,Albizia,Mimosa,Fabaceae,Broadleaf
Alnus glutinosa,European alder,Alnus,Alder,Betulaceae,Broadleaf
Amelanchier,serviceberry,Amelanchier,Serviceberry,Rosaceae,Broadleaf
Betula nigra,river birch,Betula,Birch,Betulaceae,Broadleaf
Betula papyrifera,paper birch,Betula,Birch,Betulaceae,Broadleaf
Betula pendula,silver birch,Betula,Birch,Betulaceae,Broadleaf
Carpinus betulus,European hornbeam,Carpinus,Hornbeam,Betulaceae,Broadleaf
Carpinus caroliniana,American hornbeam,Carpinus,Hornbeam,Betulaceae,Broadleaf
Carpinus japonica,Japanese hornbeam,Carpinus,Hornbeam,Betulaceae,Broadleaf
Carya glabra,pignut hickory,Carya,Hickory,Juglandaceae,Broadleaf
Castanea mollissima,Chinese chestnut,Castanea,Chestnut,Fagaceae,Broadleaf
Catalpa,catalpa,Catalpa,Catalpa,Bignoniaceae,Broadleaf
Cedrus atlantica,Atlas cedar,Cedrus,Cedar,Pinaceae,Conifer
Cedrus deodara,Himalayan cedar,Cedrus,Cedar,Pinaceae,Conifer
Celtis occidentalis,common hackberry,Celtis,Hackberry,Cannabaceae,Broadleaf
Cercidiphyllum japonicum,katsura tree,Cercidiphyllum,Katsura,Cercidiphyllaceae,Broadleaf
Cercis canadensis,eastern redbud,Cercis,Redbud,Fabaceae,Broadleaf
Cercis reniformis,Oklahoma redbud,Cercis,Redbud,Fabaceae,Broadleaf
Chamaecyparis pisifera,false cypress,Chamaecyparis,False cypress,Cupressaceae,Conifer
Chamaecyparis thyoides,Atlantic white cedar,Chamaecyparis,False cypress,Cupressaceae,Conifer
Chionanthus retusus,Chinese fringetree,Chionanthus,Fringetree,Oleaceae,Broadleaf
Cladrastis kentukea,Kentucky yellowwood,Cladrastis,Yellowwood,Fabaceae,Broadleaf
Cornus alternifolia,pagoda dogwood,Cornus,Dogwood,Cornaceae,Broadleaf
Cornus florida,flowering dogwood,Cornus,Dogwood,Cornaceae,Broadleaf
Cornus kousa,kousa dogwood,Cornus,Dogwood,Cornaceae,Broadleaf
Cornus mas,Cornelian cherry,Cornus,Dogwood,Cornaceae,Broadleaf
Corylus colurna,Turkish hazelnut,Corylus,Hazel,Betulaceae,Broadleaf
Cotinus coggygria,smoketree,Cotinus,Smoketree,Anacardiaceae,Broadleaf
Crataegus,hawthorn,Crataegus,Hawthorn,Rosaceae,Broadleaf
Crataegus crusgalli var. inermis,cockspur hawthorn,Crataegus,Hawthorn,Rosaceae,Broadleaf
Eucommia ulmoides,hardy rubber tree,Eucommia,Eucommia,Eucommiaceae,Broadleaf
Fagus grandifolia,American beech,Fagus,Beech,Fagaceae,Broadleaf
Fagus sylvatica,European beech,Fagus,Beech,Fagaceae,Broadleaf
Fraxinus,ash,Fraxinus,Ash,Oleaceae,Broadleaf
Fraxinus americana,white ash,Fraxinus,Ash,Oleaceae,Broadleaf
Fraxinus pennsylvanica,green ash,Fraxinus,Ash,Oleaceae,Broadleaf
Ginkgo biloba,ginkgo,Ginkgo,Ginkgo,Ginkgoaceae,Ginkgo
Gleditsia triacanthos var. inermis,honeylocust,Gleditsia,Honey locust,Fabaceae,Broadleaf
Gymnocladus dioicus,Kentucky coffeetree,Gymnocladus,Coffeetree,Fabaceae,Broadleaf
Halesia diptera,two-winged silverbell,Halesia,Silverbell,Styracaceae,Broadleaf
Ilex,holly,Ilex,Holly,Aquifoliaceae,Broadleaf
Juglans nigra,black walnut,Juglans,Walnut,Juglandaceae,Broadleaf
Juniperus virginiana,eastern redcedar,Juniperus,Juniper,Cupressaceae,Conifer
Koelreuteria paniculata,golden raintree,Koelreuteria,Golden rain tree,Sapindaceae,Broadleaf
Lagerstroemia,crepe myrtle,Lagerstroemia,Crape-myrtle,Lythraceae,Broadleaf
Larix laricina,American larch,Larix,Larch,Pinaceae,Conifer
Liquidambar styraciflua,sweetgum,Liquidambar,Sweetgum,Altingiaceae,Broadleaf
Liriodendron tulipifera,tulip-poplar,Liriodendron,Tulip tree,Magnoliaceae,Broadleaf
Maackia amurensis,Amur maackia,Maackia,Maackia,Fabaceae,Broadleaf
Maclura pomifera,Osage-orange,Maclura,Osage-orange,Moraceae,Broadleaf
Magnolia,magnolia,Magnolia,Magnolia,Magnoliaceae,Broadleaf
Magnolia acuminata,cucumber magnolia,Magnolia,Magnolia,Magnoliaceae,Broadleaf
Magnolia grandiflora,southern magnolia,Magnolia,Magnolia,Magnoliaceae,Broadleaf
Malus,crab apple,Malus,Apple,Rosaceae,Broadleaf
Metasequoia glyptostroboides,dawn redwood,Metasequoia,Dawn Redwood,Cupressaceae,Conifer
Morus,mulberry,Morus,Mulberry,Moraceae,Broadleaf
Nyssa sylvatica,blackgum,Nyssa,Tupelo,Nyssaceae,Broadleaf
Ostrya virginiana,American hophornbeam,Ostrya,Hophornbeam,Betulaceae,Broadleaf
Parrotia persica,Persian ironwood,Parrotia,Persian ironwood,Hamamelidaceae,Broadleaf
Paulownia tomentosa,empress tree,Paulownia,Princess tree,Paulowniaceae,Broadleaf
Phellodendron amurense,Amur cork tree,Phellodendron,Cork-tree,Rutaceae,Broadleaf
Picea,spruce,Picea,Spruce,Pinaceae,Conifer
Picea abies,Norway spruce,Picea,Spruce,Pinaceae,Conifer
Picea pungens,blue spruce,Picea,Spruce,Pinaceae,Conifer
Pinus,pine,Pinus,Pine,Pinaceae,Conifer
Pinus nigra,black pine,Pinus,Pine,Pinaceae,Conifer
Pinus resinosa,red pine,Pinus,Pine,Pinaceae,Conifer
Pinus rigida,pitch pine,Pinus,Pine,Pinaceae,Conifer
Pinus strobus,white pine,Pinus,Pine,Pinaceae,Conifer
Pinus sylvestris,Scots pine,Pinus,Pine,Pinaceae,Conifer
Pinus virginiana,Virginia pine,Pinus,Pine,Pinaceae,Conifer
Platanus x acerifolia,London planetree,Platanus,Plane,Platanaceae,Broadleaf
Populus deltoides,eastern cottonwood,Populus,"Aspen, Poplar, Cottonwood",Salicaceae,Broadleaf
Populus grandidentata,bigtooth aspen,Populus,"Aspen, Poplar, Cottonwood",Salicaceae,Broadleaf
Populus tremuloides,quaking aspen,Populus,"Aspen, Poplar, Cottonwood",Salicaceae,Broadleaf
Prunus,cherry,Prunus,Prunus,Rosaceae,Broadleaf
Prunus cerasifera,purple-leaf plum,Prunus,Prunus,Rosaceae,Broadleaf
Prunus serotina,black cherry,Prunus,Prunus,Rosaceae,Broadleaf
Prunus virginiana,'Schubert' chokecherry,Prunus,Prunus,Rosaceae,Broadleaf
Pseudotsuga menziesii,Douglas-fir,Pseudotsuga,Douglas-fir,Pinaceae,Conifer
Pyrus calleryana,Callery pear,Pyrus,Pear,Rosaceae,Broadleaf
Quercus acutissima,sawtooth oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus alba,white oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus bicolor,swamp white oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus coccinea,scarlet oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus falcata,southern red oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus imbricaria,shingle oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus macrocarpa,bur oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus palustris,pin oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus phellos,willow oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus robur,English oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus rubra,northern red oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus shumardii,Schumard's oak,Quercus,Oak,Fagaceae,Broadleaf
Quercus velutina,black oak,Quercus,Oak,Fagaceae,Broadleaf
Robinia pseudoacacia,black locust,Robinia,Black locust,Fabaceae,Broadleaf
Salix babylonica,weeping willow,Salix,Willow,Salicaceae,Broadleaf
Sassafras albidum,sassafras,Sassafras,Sassafras,Lauraceae,Broadleaf
Styphnolobium japonicum,Sophora,Styphnolobium,Necklacepod,Fabaceae,Broadleaf
Styrax japonicus,Japanese snowbell,Styrax,Snowbell,Styracaceae,Broadleaf
Syringa pekinensis,Chinese tree lilac,Syringa,Lilac,Oleaceae,Broadleaf
Syringa reticulata,Japanese tree lilac,Syringa,Lilac,Oleaceae,Broadleaf
Taxodium ascendens,pond cypress,Taxodium,Bald Cypress,Cupressaceae,Conifer
Taxodium distichum,bald cypress,Taxodium,Bald Cypress,Cupressaceae,Conifer
Thuja occidentalis,arborvitae,Thuja,Arborvitae,Cupressaceae,Conifer
Tilia americana,American linden,Tilia,Linden,Malvaceae,Broadleaf
Tilia cordata,littleleaf linden,Tilia,Linden,Malvaceae,Broadleaf
Tilia tomentosa,silver linden,Tilia,Linden,Malvaceae,Broadleaf
Tsuga canadensis,eastern hemlock,Tsuga,Hemlock,Pinaceae,Conifer
Ulmus americana,American elm,Ulmus,Elm,Ulmaceae,Broadleaf
Ulmus parvifolia,Chinese elm,Ulmus,Elm,Ulmaceae,Broadleaf
